Team Name,Week,Total_Riders_in_Top_20,Team_Mentions_Count_General,AI_Team_Mentions_Count,AI_Mentions_Count_General,Lagged_Performance
AG2R Citroën Team,8,3,0,0,8,0
AG2R Citroën Team,9,2,1,1,47,3
AG2R Citroën Team,10,7,0,0,18,2
AG2R Citroën Team,11,3,0,0,23,7
AG2R Citroën Team,12,9,0,0,14,3
AG2R Citroën Team,13,4,0,0,55,9
AG2R Citroën Team,14,1,0,0,7,4
AG2R Citroën Team,15,0,0,0,14,1
AG2R Citroën Team,16,2,0,0,16,0
AG2R Citroën Team,17,3,0,0,10,2
AG2R Citroën Team,21,1,0,0,9,3
AG2R Citroën Team,22,1,0,0,14,1
AG2R Citroën Team,23,4,0,0,13,1
AG2R Citroën Team,24,2,0,0,18,4
AG2R Citroën Team,28,1,0,0,32,2
AG2R Citroën Team,29,2,0,0,32,1
AG2R Citroën Team,30,2,0,0,19,2
AG2R Citroën Team,31,2,0,0,25,2
AG2R Citroën Team,32,0,0,0,9,2
AG2R Citroën Team,34,5,0,0,8,0
AG2R Citroën Team,35,2,0,0,9,5
AG2R Citroën Team,36,4,0,0,6,2
AG2R Citroën Team,37,0,0,0,2,4
AG2R Citroën Team,39,1,0,0,9,0
AG2R Citroën Team,40,3,0,0,16,1
AG2R La Mondiale,8,3,0,0,8,0
AG2R La Mondiale,9,6,1,1,47,3
AG2R La Mondiale,10,6,0,0,18,6
AG2R La Mondiale,11,12,0,0,23,6
AG2R La Mondiale,12,20,0,0,14,12
AG2R La Mondiale,13,10,3,3,55,20
AG2R La Mondiale,14,8,0,0,7,10
AG2R La Mondiale,15,3,0,0,14,8
AG2R La Mondiale,16,5,0,0,16,3
AG2R La Mondiale,17,9,0,0,10,5
AG2R La Mondiale,18,5,1,1,16,9
AG2R La Mondiale,21,6,0,0,9,5
AG2R La Mondiale,22,2,0,0,14,6
AG2R La Mondiale,23,7,0,0,13,2
AG2R La Mondiale,24,14,1,1,18,7
AG2R La Mondiale,25,7,0,0,6,14
AG2R La Mondiale,29,6,0,0,32,7
AG2R La Mondiale,30,7,4,4,19,6
AG2R La Mondiale,31,10,0,0,25,7
AG2R La Mondiale,32,10,0,0,9,10
AG2R La Mondiale,33,5,0,0,7,10
AG2R La Mondiale,34,4,0,0,8,5
AG2R La Mondiale,35,4,0,0,9,4
AG2R La Mondiale,36,8,0,0,6,4
AG2R La Mondiale,37,9,0,0,2,8
AG2R La Mondiale,38,3,1,1,12,9
AG2R La Mondiale,39,2,0,0,9,3
AG2R La Mondiale,40,7,2,2,16,2
AG2R La Mondiale,41,3,0,0,7,7
AG2R La Mondiale,42,1,0,0,18,3
AG2R La Mondiale,43,1,0,0,5,1
AG2R La Mondiale,45,0,1,1,6,1
AG2R Prévoyance,11,1,0,0,23,0
AG2R Prévoyance,12,0,0,0,14,1
AG2R Prévoyance,15,1,0,0,14,0
AG2R Prévoyance,17,0,0,0,10,1
AG2R Prévoyance,18,0,0,0,16,0
AG2R Prévoyance,24,0,0,0,18,0
AG2R Prévoyance,26,0,0,0,34,0
AG2R Prévoyance,42,0,0,0,18,0
Acqua & Sapone,12,7,0,0,14,0
Acqua & Sapone,22,2,0,0,14,7
Acqua & Sapone,37,2,0,0,2,2
Ag2r Prévoyance,8,1,0,0,8,0
Ag2r Prévoyance,9,1,0,0,47,1
Ag2r Prévoyance,10,2,1,1,18,1
Ag2r Prévoyance,11,5,0,0,23,2
Ag2r Prévoyance,12,1,0,0,14,5
Ag2r Prévoyance,13,2,0,0,55,1
Ag2r Prévoyance,14,4,0,0,7,2
Ag2r Prévoyance,15,2,0,0,14,4
Ag2r Prévoyance,16,4,0,0,16,2
Ag2r Prévoyance,17,2,0,0,10,4
Ag2r Prévoyance,18,1,0,0,16,2
Ag2r Prévoyance,19,0,0,0,15,1
Ag2r Prévoyance,21,1,0,0,9,0
Ag2r Prévoyance,22,1,0,0,14,1
Ag2r Prévoyance,23,2,0,0,13,1
Ag2r Prévoyance,24,7,0,0,18,2
Ag2r Prévoyance,25,1,0,0,6,7
Ag2r Prévoyance,26,0,0,0,34,1
Ag2r Prévoyance,29,2,0,0,32,0
Ag2r Prévoyance,30,1,0,0,19,2
Ag2r Prévoyance,31,1,0,0,25,1
Ag2r Prévoyance,32,1,0,0,9,1
Ag2r Prévoyance,36,1,0,0,6,1
Ag2r Prévoyance,37,6,0,0,2,1
Ag2r Prévoyance,38,1,0,0,12,6
Ag2r Prévoyance,39,1,0,0,9,1
Ag2r Prévoyance,41,2,0,0,7,1
Ag2r Prévoyance,42,1,0,0,18,2
Ag2r-La Mondiale,8,3,0,0,8,0
Ag2r-La Mondiale,9,3,0,0,47,3
Ag2r-La Mondiale,10,4,0,0,18,3
Ag2r-La Mondiale,11,10,0,0,23,4
Ag2r-La Mondiale,12,6,0,0,14,10
Ag2r-La Mondiale,13,1,0,0,55,6
Ag2r-La Mondiale,14,3,0,0,7,1
Ag2r-La Mondiale,15,1,0,0,14,3
Ag2r-La Mondiale,16,3,0,0,16,1
Ag2r-La Mondiale,17,4,0,0,10,3
Ag2r-La Mondiale,18,1,0,0,16,4
Ag2r-La Mondiale,21,10,0,0,9,1
Ag2r-La Mondiale,22,4,0,0,14,10
Ag2r-La Mondiale,23,4,0,0,13,4
Ag2r-La Mondiale,24,8,0,0,18,4
Ag2r-La Mondiale,25,3,0,0,6,8
Ag2r-La Mondiale,29,14,0,0,32,3
Ag2r-La Mondiale,30,10,0,0,19,14
Ag2r-La Mondiale,31,4,0,0,25,10
Ag2r-La Mondiale,32,2,0,0,9,4
Ag2r-La Mondiale,33,1,0,0,7,2
Ag2r-La Mondiale,36,9,0,0,6,1
Ag2r-La Mondiale,37,3,0,0,2,9
Ag2r-La Mondiale,38,2,0,0,12,3
Ag2r-La Mondiale,39,1,0,0,9,2
Ag2r-La Mondiale,41,3,0,0,7,1
Ag2r-La Mondiale,42,1,0,0,18,3
Alessio,11,0,0,0,23,0
Alessio,12,2,0,0,14,0
Alessio,14,1,0,0,7,2
Alessio,15,1,0,0,14,1
Alessio,17,1,0,0,10,1
Alessio,18,0,0,0,16,1
Alessio,22,1,0,0,14,0
Alessio,24,0,0,0,18,1
Alessio,26,0,0,0,34,0
Alessio,30,0,0,0,19,0
Alessio,39,0,0,0,9,0
Alessio,42,1,0,0,18,0
Alessio-Bianchi,11,0,0,0,23,0
Alessio-Bianchi,12,0,0,0,14,0
Alessio-Bianchi,14,1,0,0,7,0
Alessio-Bianchi,15,1,0,0,14,1
Alessio-Bianchi,17,1,0,0,10,1
Alessio-Bianchi,18,0,0,0,16,1
Alessio-Bianchi,22,2,0,0,14,0
Alessio-Bianchi,24,0,0,0,18,2
Alessio-Bianchi,25,0,0,0,6,0
Alessio-Bianchi,30,0,0,0,19,0
Alessio-Bianchi,32,0,0,0,9,0
Alessio-Bianchi,39,0,0,0,9,0
Alessio-Bianchi,42,1,0,0,18,0
Alpecin - Deceuninck,3,0,0,0,31,0
Alpecin - Deceuninck,4,0,0,0,24,0
Alpecin - Deceuninck,5,0,0,0,13,0
Alpecin - Deceuninck,8,0,0,0,8,0
Alpecin - Deceuninck,9,2,0,0,47,0
Alpecin - Deceuninck,10,2,0,0,18,2
Alpecin - Deceuninck,11,3,0,0,23,2
Alpecin - Deceuninck,12,7,0,0,14,3
Alpecin - Deceuninck,13,4,0,0,55,7
Alpecin - Deceuninck,14,6,0,0,7,4
Alpecin - Deceuninck,15,2,0,0,14,6
Alpecin - Deceuninck,16,2,0,0,16,2
Alpecin - Deceuninck,17,1,0,0,10,2
Alpecin - Deceuninck,18,3,0,0,16,1
Alpecin - Deceuninck,21,0,0,0,9,3
Alpecin - Deceuninck,22,0,0,0,14,0
Alpecin - Deceuninck,23,0,0,0,13,0
Alpecin - Deceuninck,24,0,0,0,18,0
Alpecin - Deceuninck,25,0,0,0,6,0
Alpecin - Deceuninck,29,0,0,0,32,0
Alpecin - Deceuninck,30,0,0,0,19,0
Alpecin - Deceuninck,31,1,0,0,25,0
Alpecin - Deceuninck,32,0,0,0,9,1
Alpecin - Deceuninck,33,0,0,0,7,0
Alpecin - Deceuninck,34,2,0,0,8,0
Alpecin - Deceuninck,35,3,0,0,9,2
Alpecin - Deceuninck,36,0,0,0,6,3
Alpecin - Deceuninck,37,4,0,0,2,0
Alpecin - Deceuninck,41,0,0,0,7,4
Alpecin-Deceuninck,8,1,0,0,8,0
Alpecin-Deceuninck,9,1,0,0,47,1
Alpecin-Deceuninck,10,0,0,0,18,1
Alpecin-Deceuninck,11,2,0,0,23,0
Alpecin-Deceuninck,12,3,0,0,14,2
Alpecin-Deceuninck,13,1,0,0,55,3
Alpecin-Deceuninck,14,2,0,0,7,1
Alpecin-Deceuninck,16,1,0,0,16,2
Alpecin-Deceuninck,17,0,0,0,10,1
Alpecin-Deceuninck,21,0,1,1,9,0
Alpecin-Deceuninck,23,0,0,0,13,0
Alpecin-Deceuninck,24,0,0,0,18,0
Alpecin-Deceuninck,29,0,3,3,32,0
Alpecin-Deceuninck,30,0,0,0,19,0
Alpecin-Deceuninck,31,0,2,2,25,0
Alpecin-Deceuninck,35,1,0,0,9,0
Alpecin-Deceuninck,36,0,0,0,6,1
Alpecin-Deceuninck,37,0,0,0,2,0
Alpecin-Deceuninck,40,0,0,0,16,0
Argos-Shimano,10,0,0,0,18,0
Argos-Shimano,11,0,0,0,23,0
Argos-Shimano,12,0,0,0,14,0
Argos-Shimano,13,1,0,0,55,0
Argos-Shimano,14,1,0,0,7,1
Argos-Shimano,16,0,0,0,16,1
Argos-Shimano,17,0,0,0,10,0
Argos-Shimano,21,0,0,0,9,0
Argos-Shimano,23,0,0,0,13,0
Argos-Shimano,24,0,0,0,18,0
Argos-Shimano,29,0,0,0,32,0
Argos-Shimano,30,0,0,0,19,0
Argos-Shimano,31,0,0,0,25,0
Argos-Shimano,37,0,0,0,2,0
Argos-Shimano,40,0,0,0,16,0
Arkéa - B&B Hotels,3,0,0,0,31,0
Arkéa - B&B Hotels,4,1,0,0,24,0
Arkéa - B&B Hotels,5,0,0,0,13,1
Arkéa - B&B Hotels,8,0,0,0,8,0
Arkéa - B&B Hotels,9,0,0,0,47,0
Arkéa - B&B Hotels,10,2,0,0,18,0
Arkéa - B&B Hotels,11,1,0,0,23,2
Arkéa - B&B Hotels,12,0,0,0,14,1
Arkéa - B&B Hotels,13,2,0,0,55,0
Arkéa - B&B Hotels,14,0,0,0,7,2
Arkéa - B&B Hotels,15,0,0,0,14,0
Arkéa - B&B Hotels,16,0,0,0,16,0
Arkéa - B&B Hotels,17,0,0,0,10,0
Arkéa - B&B Hotels,18,0,0,0,16,0
Arkéa - B&B Hotels,21,0,0,0,9,0
Arkéa - B&B Hotels,22,0,0,0,14,0
Arkéa - B&B Hotels,23,0,0,0,13,0
Arkéa - B&B Hotels,24,0,0,0,18,0
Arkéa - B&B Hotels,25,1,0,0,6,0
Arkéa - B&B Hotels,29,0,0,0,32,1
Arkéa - B&B Hotels,30,2,0,0,19,0
Arkéa - B&B Hotels,31,0,0,0,25,2
Arkéa - B&B Hotels,32,0,0,0,9,0
Arkéa - B&B Hotels,33,0,0,0,7,0
Arkéa - B&B Hotels,34,1,0,0,8,0
Arkéa - B&B Hotels,35,1,0,0,9,1
Arkéa - B&B Hotels,36,1,0,0,6,1
Arkéa - B&B Hotels,37,2,0,0,2,1
Arkéa - B&B Hotels,41,0,0,0,7,2
Astana,8,1,0,0,8,0
Astana,9,0,1,1,47,1
Astana,10,2,1,1,18,0
Astana,11,5,0,0,23,2
Astana,12,4,0,0,14,5
Astana,13,0,3,3,55,4
Astana,14,1,0,0,7,0
Astana,15,1,0,0,14,1
Astana,16,3,0,0,16,1
Astana,17,3,0,0,10,3
Astana,18,4,1,1,16,3
Astana,21,3,0,0,9,4
Astana,22,7,0,0,14,3
Astana,23,2,0,0,13,7
Astana,24,8,1,1,18,2
Astana,25,4,0,0,6,8
Astana,29,3,2,2,32,4
Astana,30,4,4,4,19,3
Astana,31,3,0,0,25,4
Astana,32,1,0,0,9,3
Astana,36,2,1,1,6,1
Astana,37,3,0,0,2,2
Astana,38,7,3,3,12,3
Astana,41,1,0,0,7,7
Astana,42,1,0,0,18,1
Astana (Liberty),32,2,0,0,9,0
Astana (Liberty),36,0,0,0,6,2
Astana (Liberty),41,0,0,0,7,0
Astana Pro Team,8,6,0,0,8,0
Astana Pro Team,9,7,0,0,47,6
Astana Pro Team,10,10,0,0,18,7
Astana Pro Team,11,14,0,0,23,10
Astana Pro Team,12,23,0,0,14,14
Astana Pro Team,13,10,0,0,55,23
Astana Pro Team,14,2,0,0,7,10
Astana Pro Team,15,2,0,0,14,2
Astana Pro Team,16,9,0,0,16,2
Astana Pro Team,17,12,0,0,10,9
Astana Pro Team,18,9,0,0,16,12
Astana Pro Team,21,13,0,0,9,9
Astana Pro Team,22,3,0,0,14,13
Astana Pro Team,23,7,0,0,13,3
